"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"8496","Normal/Others","WS/MP838/2025-2026/169615-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGHER PRIMARY SCHOOL MIYAAR (29240206203)","31-Jan-2025","145000","29-Jan-2026"
"8497","Normal/Others","WS/MP838/2025-2026/169616-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL PUTHILA (29240206301)","31-Jan-2025","145000","29-Jan-2026"
"8498","Normal/Others","WS/MP838/2025-2026/169617-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL NELYADKA (29240206401)","31-Jan-2025","145000","06-Feb-2026"
"8499","Normal/Others","WS/MP838/2025-2026/169620-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL GUTHINA BAIL (29240206501)","31-Jan-2025","145000","29-Jan-2026"
"8500","Normal/Others","NA-Fitting of Sitting RCC Benches in Public Places","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Construction of Cement railing work and cement benches work at Pashan Lake Pune","28-Jan-2025","1000000","NA"
"8501","Normal/Others","NA-Renovation of ponds and lakes","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Beautification of the stone pond waterfall fountain and stone construction","28-Jan-2025","1000000","NA"
"8502","Normal/Others","WS/MP838/2025-2026/169624-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. UPGRADED PRIMARY SCHOOL SAVYA (29240206601)","31-Jan-2025","145000","29-Jan-2026"
"8503","Normal/Others","WS/MP838/2025-2026/169626-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. UPGRADED PRIMARY SCHOOL PERLA (29240206702)","31-Jan-2025","145000","29-Jan-2026"
"8504","Normal/Others","WS/MP838/2025-2026/169627-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. UPGRADED PRIMARY SCHOOL SHISHILA (29240206903)","31-Jan-2025","145000","29-Jan-2026"
"8505","Normal/Others","WS/MP838/2025-2026/169628-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL SONANDOOR (29240207001)","31-Jan-2025","145000","29-Jan-2026"
"8506","Normal/Others","WS/MP838/2025-2026/169635-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL SULKERIMOGRU (29240207201)","31-Jan-2025","145000","29-Jan-2026"
"8507","Normal/Others","WS/MP18286/2024-2025/169637-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Waterproofing of the hall at the multipurpose center at Sahakar Udyan Erandwana.","28-Jan-2025","992450","29-Mar-2025"
"8508","Normal/Others","WS/MP838/2025-2026/169639-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. UPGRADED PRIMARY SCHOOL THANNIRUPANTHA (29240207301)","31-Jan-2025","145000","17-Nov-2025"
"8509","Normal/Others","WS/MP007/2024-2025/169654-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","boreing, construction of platform, installation of water tank, submersible pump etc. near Hatania Talab ward no 14","28-Jan-2025","550000","28-Jan-2025"
"8510","Normal/Others","WS/MP007/2024-2025/169655-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","boreing, construction of platform, installation of water tank, submersible pump etc. near Gurudwara main road, Ranchi at ward no. 15.","28-Jan-2025","484000","28-Jan-2025"
"8511","Normal/Others","WS/MP838/2025-2026/169656-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGHER PRIMARY SCHOOL PALEDU (29240207304)","31-Jan-2025","145000","31-Jan-2026"
"8512","Normal/Others","WS/MP838/2025-2026/169658-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. UPGRADED PRIMARY SCHOOL KUTTIKALA (29240207401)","31-Jan-2025","145000","29-Jan-2026"
"8513","Normal/Others","WS/MP838/2025-2026/169659-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. UPGRADED PRIMARY SCHOOL THOTATHADI (29240207601)","31-Jan-2025","145000","31-Jan-2026"
"8514","Normal/Others","WS/MP838/2025-2026/169660-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGHER PRIMARY SCHOOL DOMPADAPALKE (29240207703)","31-Jan-2025","145000","29-Jan-2026"
"8515","Normal/Others","WS/MP838/2025-2026/169661-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. UPGRADED PRIMARY SCHOOL GURIPALLA (29240207704)","31-Jan-2025","145000","31-Jan-2026"
"8516","Normal/Others","WS/MP838/2025-2026/169662-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGHER PRIMARY SCHOOL HALEPETE UJIRE (29240207705)","31-Jan-2025","145000","06-Feb-2026"
"8517","Normal/Others","WS/MP838/2025-2026/169663-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGHER PRIMARY SCHOOL MUNDATHODY PERLA (29240207711)","31-Jan-2025","145000","31-Jan-2026"
"8518","Normal/Others","WS/MP838/2025-2026/169664-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. MODEL HIGHER PRIMARY SCHOOL BELTHANGADY (29240208301)","31-Jan-2025","145000","06-Feb-2026"
"8519","Normal/Others","WS/MP838/2025-2026/169665-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to NETAJI SUBHASH CHANDRA BOSE AWASIYA VIDYALAYA BELTHANGADY (29240208302)","31-Jan-2025","145000","06-Feb-2026"
"8520","Normal/Others","WS/MP838/2025-2026/169666-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGHER PRIMARY SCHOOL MUGULI (29240208801)","31-Jan-2025","145000","31-Jan-2026"
"8521","Normal/Others","WS/MP838/2025-2026/169668-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to AIDED HIGHER PRIMARY SCHOOL MARODY (29240204103)","31-Jan-2025","145000","31-Jan-2026"
"8522","Normal/Others","WS/MP838/2025-2026/169671-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to SRI SARASWATI AIDED HIGHER PRIMARY SCHOOL BELAL (29240200904)","31-Jan-2025","145000","31-Jan-2026"
"8523","Normal/Others","WS/MP838/2025-2026/169673-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to SHRI VISHNUMOORTHY AIDED HIGHER PRIMARY SCHOOL PATTOOR (29240205905)","31-Jan-2025","145000","25-Mar-2026"
"8524","Normal/Others","WS/MP838/2025-2026/169674-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to AIDED HIGHER PRIMARY SCHOOL URUVALU (29240207804)","31-Jan-2025","145000","31-Jan-2026"
"8525","Normal/Others","WS/MP838/2025-2026/169676-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to AIDED HIGHER PRIMARY SCHOOL SULKERI (29240207101)","31-Jan-2025","145000","31-Jan-2026"
"8526","Normal/Others","WS/MP838/2025-2026/169689-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. PRE UNIVERSITY COLLEGE (High School section) ALADANGADY  (29240200302)","31-Jan-2025","145000","31-Jan-2026"
"8527","Normal/Others","WS/MP838/2025-2026/169690-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL BALENJA  (29240200602)","31-Jan-2025","145000","31-Jan-2026"
"8528","Normal/Others","WS/MP838/2025-2026/169691-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL KAKKINJE (29240201004)","31-Jan-2025","145000","31-Jan-2026"
"8529","Normal/Others","WS/MP838/2025-2026/169692-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL SALETHADKA  (29240202001)","31-Jan-2025","145000","31-Jan-2026"
"8530","Normal/Others","WS/MP838/2025-2026/169693-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL KAYARTHADKA (29240202004)","31-Jan-2025","145000","02-Feb-2026"
"8531","Normal/Others","WS/MP838/2025-2026/169694-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL KALMANJA (29240202206)","31-Jan-2025","145000","02-Feb-2026"
"8532","Normal/Others","WS/MP838/2025-2026/169695-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL PADMUNJA (29240202304)","31-Jan-2025","145000","02-Feb-2026"
"8533","Normal/Others","WS/MP838/2025-2026/169696-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL KASHIPATNA (29240202803)","31-Jan-2025","145000","02-Feb-2026"
"8534","Normal/Others","WS/MP838/2025-2026/169697-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. PRE UNIVERSITY COLLEGE (High School section) KOKRADY (29240203002)","31-Jan-2025","145000","02-Feb-2026"
"8535","Normal/Others","WS/MP838/2025-2026/169698-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to KARNATAKA PUBLIC SCHOOL (High School section) PUNJALKATTE (29240203303)","31-Jan-2025","145000","02-Feb-2026"
"8536","Normal/Others","WS/MP838/2025-2026/169699-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL MITTABAGILU (29240204304)","31-Jan-2025","145000","02-Feb-2026"
"8537","Normal/Others","WS/MP838/2025-2026/169708-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL BULERI - MOGRU (29240204405)","31-Jan-2025","145000","02-Feb-2026"
"8538","Normal/Others","WS/MP838/2025-2026/169709-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL NAVOOR (29240205203)","31-Jan-2025","145000","02-Feb-2026"
"8539","Normal/Others","WS/MP838/2025-2026/169710-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL NELYADKA (29240206403)","31-Jan-2025","145000","02-Feb-2026"
"8540","Normal/Others","WS/MP838/2025-2026/169722-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to NETHAJI SUBHASHCHANDRABOSE GOVT. HIGH SCHOOL SAVANALU (29240206503)","31-Jan-2025","145000","02-Feb-2026"
"8541","Normal/Others","WS/MP838/2025-2026/169724-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to  GOVT. HIGH SCHOOL SARALIKATTE (29240207402)","31-Jan-2025","145000","02-Feb-2026"
"8542","Normal/Others","WS/MP838/2025-2026/169725-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to GOVT. HIGH SCHOOL HALEPETE UJIRE (29240207712)","31-Jan-2025","145000","06-Feb-2026"
"8543","Normal/Others","WS/MP838/2025-2026/169726-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to ST. THERESE HIGH SCHOOL BELTHANGADY (29240208402)","31-Jan-2025","145000","02-Feb-2026"
"8544","Normal/Others","WS/MP838/2025-2026/169732-Purchase of smart boards, visual display units and projectors","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","PROVIDING SMART CLASS UNIT (1 Nos) to MUNDAJE HIGH SCHOOL MUNDAJE (29240204606)","31-Jan-2025","145000","02-Feb-2026"
"8545","Trust and Society","WS/MP147/2025-2026/169844-Development of playground","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","To get the work of synthetic basketball court and open gym done in Shri Sumer Shikshan Sansthan Mahamandir Jodhpur.","29-Jan-2025","2500000","20-Jun-2025"
"8546","Trust and Society","WS/MP147/2025-2026/169845-Construction of additional rooms and halls in the existing public and community building","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction of a hall on the first floor of the community building located in Ward No. 75 Chanakya Nagar.","29-Jan-2025","2000000","20-Jun-2025"
"8547","Normal/Others","WS/MP18284/2025-2026/169992-Security gates in streets/public place for safety purpose","Madhya Pradesh","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","construction main entry gate (no.2) at ward 25 lether factory colony near babuji ki kothi cp colony morar gwalior","29-Jan-2025","995000","04-Nov-2025"
"8548","Normal/Others","WS/MP18316/2024-2025/170116-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","GUNA(District Collector Guna_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","Gram Gujari me main road school se Narayan singh ke ghar ki aur CC road nirman","30-Jan-2025","1000000","10-Feb-2025"
"8549","Normal/Others","WS/MP102/2025-2026/170141-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Cheruvichery Paalam - Pooram Kulikkadavu Road - Concreting in Kadannappally Panappuzha Grama Panchayath","29-Jan-2025","1172324","13-Jan-2026"
"8550","Normal/Others","WS/MP096/2025-2026/170289-Lighting of public spaces","Kerala","KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Setting up of Low mast light near Aazhithala Friday Cultural Centre, ward No. 25, Nileshwar Municipality","29-Jan-2025","200000","23-Apr-2025"
"8551","Normal/Others","WS/MP138/2025-2026/170325-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Semi High Mast Light at Karkeihata, Village G.P.- Badagoan, Block-Balikuda, Distt- Jagatsinghpur, Ward No-16","29-Jan-2025","250000","10-Jul-2025"
"8552","Normal/Others","WS/MP138/2025-2026/170326-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of High Mast Light at Galua Bazar, Village- Karamanga G.P.- Mulugoan, Block- Balikuda, Distt- Jagatsinghpur, Ward No-9","29-Jan-2025","250000","10-Jul-2025"
"8553","Normal/Others","WS/MP138/2025-2026/170327-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of High Mast Light at Sarabanta Jagannath Bazar, Village-Sarabanta, G.P. Gadaharispur, Block- Erasama, Distt- Jagatsinghpur, Ward No.22","29-Jan-2025","750000","10-Jul-2025"
"8554","Normal/Others","WS/MP138/2025-2026/170328-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of Semi High Mast Light at Dabarahata, Village- Karamanga GP- Mulugaon, Block- Balikuda, Distt- Jagatsinghpur Ward No-9","29-Jan-2025","250000","10-Jul-2025"
"8555","Normal/Others","WS/MP138/2025-2026/170329-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Installation of High Mast Light at Dhankuda Jagannath Bazar, Village G.P. Hajipur, Block-Birdhi, Distt- Jagatsinghpur, Ward No. 6","29-Jan-2025","750000","10-Jul-2025"
"8556","Normal/Others","WS/MP138/2025-2026/170343-Construction of community centers and community halls","Odisha","Anugola(DISTRICT COLLECTORANGUL_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction for Building for Radio Sarvodaya Bajirout Chhatabas Susuda Village, Ward No-11 Angul Municipality, PO Hakimapada, Distt- Angul-759143","30-Jan-2025","1000000","10-Apr-2025"
"8557","Normal/Others","WS/MP138/2024-2025/170344-Construction of additional rooms and halls in the existing public and community building","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repair and Maintenance of SC Pur Primary School At- SC Pur GPSC Pur under Udala Block, DIstt- Mayurbhanj","30-Jan-2025","500000","27-Feb-2025"
"8558","Normal/Others","WS/MP138/2024-2025/170345-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repair Restoration of CC Road from RD Road to Suresh Barik House W.No.-5 Village-Kundabai, GP Kundabai Block Udala Distt Mayurbhanj, Block-Udala","30-Jan-2025","500000","27-Feb-2025"
"8559","Normal/Others","WS/MP138/2024-2025/170346-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repair Renovation of CC Road from Sarallibila to Hatimada Ward No-3 Village-Saralibilla, GP JS Jamadiha Block Kaptipada","30-Jan-2025","500000","27-Feb-2025"
