"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"5980","Normal/Others","WS/MP096/2024-2025/145349-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Munderi - Thorappa melethilmukku road/pathway, Ward No.02, Pothukkal Panchayat","04-Oct-2024","412752","28-Nov-2024"
"5981","Normal/Others","WS/MP096/2024-2025/145350-Purchase of IT systems, including hardware and software for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Purchasing of Computers, printer and projector to GLPS Pallisseri, Ward No. 4, Kalikavu Panchayat","04-Oct-2024","500000","28-Nov-2024"
"5982","Normal/Others","WS/MP096/2024-2025/145351-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Ummerkoya - Muhammed haji road /pathway 2nd reach, ward No. 03, Kalikavu Panchayat","04-Oct-2024","472899","12-Dec-2024"
"5983","Normal/Others","WS/MP096/2024-2025/145352-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Paattakarambu ST Colony road /pathway, ward No. 07, Amarambalam Panchayat (ST)","04-Oct-2024","482509","12-Dec-2024"
"5984","Normal/Others","WS/MP096/2024-2025/145353-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Madrasa Anangot chola road/pathway, Ward No. 12, Pulamanthole Panchayat","04-Oct-2024","491654","28-Mar-2025"
"5985","Normal/Others","WS/MP202/2024-2025/145376-Installation of multi-gym equipment","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND MUNGRA BADSAHPUR PRATHMIK VIDHYALAY LAUH ME MULTI OPEN GYM KA ADHISTHAPAN KARYA","04-Oct-2024","687428","09-Oct-2024"
"5986","Normal/Others","WS/MP166/2024-2025/145378-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Purchase of Retro Fitted Three Wheel Scooter to Physically Handicapped-13 Nos","04-Oct-2024","1215500","04-Oct-2024"
"5987","Normal/Others","WS/MP18300/2024-2025/145389-Construction of common work sheds/ common covered sitting area","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","04-Oct-2024","479427","27-Jan-2025"
"5988","Normal/Others","WS/MP831/2025-2026/145417-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road at Nayachora p-5 under Aeibhandarani VCDC.","04-Oct-2024","1499451","23-May-2025"
"5989","Normal/Others","WS/MP113/2024-2025/145504-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cement concrete road from Main Road To Ansar Shaikh House","04-Oct-2024","1000000","08-Oct-2024"
"5990","Normal/Others","WS/MP113/2024-2025/145505-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cement concrete road internal Shamshan BhumiPremises","04-Oct-2024","1000000","08-Oct-2024"
"5991","Normal/Others","WS/MP113/2024-2025/145506-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cement concrete road internal Idgah Qabristan","04-Oct-2024","1000000","08-Oct-2024"
"5992","Normal/Others","WS/MP107/2024-2025/145514-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","CC ROAD CONSTRUCTION WORK TOWARDS BASTI GRAM PANCHAYAT URHEDI","07-Oct-2024","1000000","18-Oct-2024"
"5993","Normal/Others","WS/MP189/2025-2026/145515-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
"5994","Normal/Others","WS/MP189/2025-2026/145516-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
"5995","Normal/Others","WS/MP189/2025-2026/145517-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
